feature_set,n_features,cv_mean,cv_std,cv_min,cv_max
bulk_plus_cdr3_plus_derived,24,0.6512795076696978,0.0229405207702605,0.6178010471204188,0.7105263157894737
bulk_plus_cdr3,14,0.6362340405988793,0.02585777249217807,0.6105263157894737,0.6894736842105263
bulk_only,6,0.618682832736291,0.033680729503017585,0.5736842105263158,0.6701570680628273
